Loading repository data...
Reading installed packages...

S  | Name                                  | Type    | Version                             | Arch   | Repository             
i  | at-spi2-atk-common                    | package | 2.30.0-1.1                          | x86_64 | openSUSE-Tumbleweed-Oss
i  | at-spi2-atk-gtk2                      | package | 2.30.0-1.1                          | x86_64 | openSUSE-Tumbleweed-Oss
i  | at-spi2-core                          | package | 2.30.0-1.1                          | x86_64 | openSUSE-Tumbleweed-Oss
i  | at-spi2-core-lang                     | package | 2.30.0-1.1                          | noarch | openSUSE-Tumbleweed-Oss
i  | atk-lang                              | package | 2.30.0-1.1                          | noarch | openSUSE-Tumbleweed-Oss
i  | attica-qt5                            | package | 5.53.0-1.1                          | x86_64 | openSUSE-Tumbleweed-Oss
i  | attr                                  | package | 2.4.48-2.1                          | x86_64 | openSUSE-Tumbleweed-Oss
i  | audit                                 | package | 2.8.4-1.3                           | x86_64 | openSUSE-Tumbleweed-Oss
i  | augeas                                | package | 1.10.1-1.3                          | x86_64 | openSUSE-Tumbleweed-Oss
i  | augeas-lenses                         | package | 1.10.1-1.3                          | x86_64 | openSUSE-Tumbleweed-Oss
i  | autofs                                | package | 5.1.3-8.3                           | x86_64 | openSUSE-Tumbleweed-Oss
i  | autoyast2-installation                | package | 4.0.68-1.1                          | noarch | openSUSE-Tumbleweed-Oss
i  | avahi                                 | package | 0.7-4.3                             | x86_64 | openSUSE-Tumbleweed-Oss
i  | avahi-lang                            | package | 0.7-4.3                             | noarch | openSUSE-Tumbleweed-Oss
i  | baloo5-file                           | package | 5.53.0-1.1                          | x86_64 | openSUSE-Tumbleweed-Oss
i  | baloo5-file-lang                      | package | 5.53.0-1.1                          | noarch | openSUSE-Tumbleweed-Oss
i  | baloo5-imports                        | package | 5.53.0-1.1                          | x86_64 | openSUSE-Tumbleweed-Oss
i  | baloo5-imports-lang                   | package | 5.53.0-1.1                          | noarch | openSUSE-Tumbleweed-Oss
i  | baloo5-kioslaves                      | package | 5.53.0-1.1                          | x86_64 | openSUSE-Tumbleweed-Oss
i  | baloo5-kioslaves-lang                 | package | 5.53.0-1.1                          | noarch | openSUSE-Tumbleweed-Oss
i  | baloo5-tools                          | package | 5.53.0-1.1                          | x86_64 | openSUSE-Tumbleweed-Oss
i  | baloo5-tools-lang                     | package | 5.53.0-1.1                          | noarch | openSUSE-Tumbleweed-Oss
i  | baloo5-widgets                        | package | 18.12.0-1.1                         | x86_64 | openSUSE-Tumbleweed-Oss
i  | baloo5-widgets-lang                   | package | 18.12.0-1.1                         | noarch | openSUSE-Tumbleweed-Oss
i+ | base                                  | pattern | 20170410-8.1                        | x86_64 | openSUSE-Tumbleweed-Oss
i  | bash                                  | package | 4.4-107.1                           | x86_64 | openSUSE-Tumbleweed-Oss
i  | bash-completion                       | package | 2.8-2.1                             | noarch | openSUSE-Tumbleweed-Oss
i  | bash-doc                              | package | 4.4-107.1                           | noarch | openSUSE-Tumbleweed-Oss
i  | bash-lang                             | package | 4.4-107.1                           | noarch | openSUSE-Tumbleweed-Oss
i  | bind-utils                            | package | 9.11.2-43.1                         | x86_64 | openSUSE-Tumbleweed-Oss
i  | binutils                              | package | 2.31-2.1                            | x86_64 | openSUSE-Tumbleweed-Oss
i  | blog                                  | package | 2.19-1.2                            | x86_64 | openSUSE-Tumbleweed-Oss
i  | bluedevil5                            | package | 5.14.4-1.1                          | x86_64 | openSUSE-Tumbleweed-Oss
i  | bluedevil5-lang                       | package | 5.14.4-1.1                          | noarch | openSUSE-Tumbleweed-Oss
i  | bluez                                 | package | 5.50-1.2                            | x86_64 | openSUSE-Tumbleweed-Oss
i  | bluez-qt-imports                      | package | 5.53.0-1.1                          | x86_64 | openSUSE-Tumbleweed-Oss
i  | bluez-qt-udev                         | package | 5.53.0-1.1                          | x86_64 | openSUSE-Tumbleweed-Oss
i  | boost-license1_68_0                   | package | 1.68.0-3.2                          | noarch | openSUSE-Tumbleweed-Oss
i  | branding-openSUSE                     | package | 15.0-3.5                            | noarch | openSUSE-Tumbleweed-Oss
i  | breeze                                | package | 5.14.4-1.1                          | x86_64 | openSUSE-Tumbleweed-Oss
i  | breeze5-cursors                       | package | 5.14.4-1.1                          | noarch | openSUSE-Tumbleweed-Oss
i  | breeze5-decoration                    | package | 5.14.4-1.1                          | x86_64 | openSUSE-Tumbleweed-Oss
i  | breeze5-icons                         | package | 5.53.0-1.1                          | noarch | openSUSE-Tumbleweed-Oss
i  | breeze5-style                         | package | 5.14.4-1.1                          | x86_64 | openSUSE-Tumbleweed-Oss
i  | breeze5-style-lang                    | package | 5.14.4-1.1                          | noarch | openSUSE-Tumbleweed-Oss
i  | breeze5-wallpapers                    | package | 5.14.4-1.1                          | noarch | openSUSE-Tumbleweed-Oss
i  | btrfsmaintenance                      | package | 0.4.2-1.1                           | noarch | openSUSE-Tumbleweed-Oss
i  | btrfsprogs                            | package | 4.19.1-1.1                          | x86_64 | openSUSE-Tumbleweed-Oss
i  | btrfsprogs-udev-rules                 | package | 4.19.1-1.1                          | noarch | openSUSE-Tumbleweed-Oss
i  | bubblewrap                            | package | 0.3.1-1.1                           | x86_64 | openSUSE-Tumbleweed-Oss
i  | busybox-static                        | package | 1.26.2-3.1                          | x86_64 | openSUSE-Tumbleweed-Oss
i  | bzip2                                 | package | 1.0.6-43.1                          | x86_64 | openSUSE-Tumbleweed-Oss
i  | ca-certificates                       | package | 2+git20170807.10b2785-6.1           | noarch | openSUSE-Tumbleweed-Oss
i  | ca-certificates-mozilla               | package | 2.26-1.1                            | noarch | openSUSE-Tumbleweed-Oss
i  | calendarsupport                       | package | 18.12.0-1.1                         | x86_64 | openSUSE-Tumbleweed-Oss
i  | calendarsupport-lang                  | package | 18.12.0-1.1                         | noarch | openSUSE-Tumbleweed-Oss
i  | cantarell-fonts                       | package | 0.111-1.1                           | noarch | openSUSE-Tumbleweed-Oss
i  | checkmedia                            | package | 4.1-1.1                             | x86_64 | openSUSE-Tumbleweed-Oss
i+ | chrony                                | package | 3.4-2.1                             | x86_64 | openSUSE-Tumbleweed-Oss
i  | cifs-utils                            | package | 6.8-1.1                             | x86_64 | openSUSE-Tumbleweed-Oss
i  | command-not-found                     | package | 0.2.1+20181004.20a0aae-1.1          | noarch | openSUSE-Tumbleweed-Oss
i  | coreutils                             | package | 8.30-1.2                            | x86_64 | openSUSE-Tumbleweed-Oss
i  | coreutils-lang                        | package | 8.30-1.2                            | noarch | openSUSE-Tumbleweed-Oss
i  | cpio                                  | package | 2.12-6.1                            | x86_64 | openSUSE-Tumbleweed-Oss
i  | cpio-lang                             | package | 2.12-6.1                            | noarch | openSUSE-Tumbleweed-Oss
i  | cpio-mt                               | package | 2.12-6.1                            | x86_64 | openSUSE-Tumbleweed-Oss
i  | cpp                                   | package | 8-2.1                               | x86_64 | openSUSE-Tumbleweed-Oss
i  | cpp8                                  | package | 8.2.1+r265901-1.1                   | x86_64 | openSUSE-Tumbleweed-Oss
i  | cpupower                              | package | 4.19-3.1                            | x86_64 | openSUSE-Tumbleweed-Oss
i  | cracklib                              | package | 2.9.6-2.5                           | x86_64 | openSUSE-Tumbleweed-Oss
i  | cracklib-dict-full                    | package | 2.8.12-66.1                         | x86_64 | openSUSE-Tumbleweed-Oss
i  | cracklib-dict-full                    | package | 2.8.12-66.1                         | x86_64 | openSUSE-Tumbleweed-Oss
i  | crda                                  | package | 3.18-3.6                            | x86_64 | openSUSE-Tumbleweed-Oss
i  | cron                                  | package | 4.2-71.1                            | x86_64 | openSUSE-Tumbleweed-Oss
i  | cronie                                | package | 1.5.2-71.1                          | x86_64 | openSUSE-Tumbleweed-Oss
i  | cryptsetup                            | package | 2.0.5-1.1                           | x86_64 | openSUSE-Tumbleweed-Oss
i  | cups                                  | package | 2.3b4-3.1                           | x86_64 | openSUSE-Tumbleweed-Oss
i  | cups-client                           | package | 2.3b4-3.1                           | x86_64 | openSUSE-Tumbleweed-Oss
i  | cups-config                           | package | 2.3b4-3.1                           | x86_64 | openSUSE-Tumbleweed-Oss
i  | cups-filters                          | package | 1.21.6-1.1                          | x86_64 | openSUSE-Tumbleweed-Oss
i  | curl                                  | package | 7.62.0-1.1                          | x86_64 | openSUSE-Tumbleweed-Oss
